Type_H,Type_L,Type_M,Failure Type_Heat Dissipation Failure,Failure Type_No Failure,Failure Type_Overstrain Failure,Failure Type_Power Failure,Failure Type_Random Failures,Failure Type_Tool Wear Failure,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8523973761270598,-0.610355459689573,0.4307563428376039,-0.891505011858272,1.367599086252726
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.9023934097547093,-1.0821616589284586,-0.8410318751489746,1.385682871127241,0.4563795776695361
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.9023934097547093,-1.4865669725617399,-0.060109285157215885,-0.891505011858272,1.3518884050702573
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4474994981915132,0.5354595956047812,0.33593002833860464,-0.7009033828859165,-1.586008976051407
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6974796663297036,0.3332569387881214,0.17974551034025288,-0.6106184007411165,1.5718379416248203
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.24751536368097224,0.3332569387881214,-0.9247021526480916,0.743656331430885,-0.8161855981104361
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.3523577124034405,-0.8125581165062329,-0.38921237665374275,0.41261139689995163,0.6606184330416304
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39750346456389213,1.1420675660547221,0.6482990643353082,-0.7811567003479607,-1.507455570139063
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8474677672126235,0.6028604812103089,0.3861321948380748,-0.7009033828859165,0.8177252448663183
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7524053088717894,-1.2169634301395524,0.6427210458353669,-1.2927715991684947,-1.4917448889565943
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.747475699957353,0.7376622524214409,-0.4449925616531541,0.5129280437275073,-0.17204766962921564
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8024013424994387,-1.1495625445339863,-0.5900210426516236,2.2383743691614644,-1.3817701206793127
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5024251407335989,-0.8799590021117989,0.9327780078323059,-1.1422966289271612,1.5404165792598827
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39750346456389213,0.3332569387881214,0.24110371383960533,-0.891505011858272,1.3361777238877885
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.45242910710594947,0.19845516757702766,-0.4449925616531541,0.6734346786515966,-0.37628652500130993
